"word1"	"word2"	"freq"
"748"	"you"	"too"	8
"749"	"a"	"better"	7
"750"	"a"	"friend"	7
"751"	"a"	"girl"	7
"752"	"a"	"person"	7
"753"	"a"	"real"	7
"754"	"a"	"way"	7
"755"	"ability"	"to"	7
"756"	"about"	"his"	7
"757"	"about"	"how"	7
"758"	"after"	"a"	7
"759"	"all"	"about"	7
"760"	"all"	"day"	7
"761"	"am"	"a"	7
"762"	"and"	"do"	7
"763"	"and"	"get"	7
"764"	"and"	"if"	7
"765"	"and"	"ill"	7
"766"	"and"	"in"	7
"767"	"and"	"see"	7
"768"	"and"	"there"	7
"769"	"any"	"of"	7
"770"	"are"	"all"	7
"771"	"as"	"an"	7
"772"	"as"	"he"	7
"773"	"as"	"we"	7
"774"	"at"	"this"	7
"775"	"based"	"on"	7
"776"	"be"	"on"	7
"777"	"beautiful"	"day"	7
"778"	"but"	"not"	7
"779"	"but"	"still"	7
"780"	"but"	"that"	7
"781"	"but"	"there"	7
"782"	"can"	"make"	7
"783"	"come"	"back"	7
"784"	"coming"	"to"	7
"785"	"could"	"have"	7
"786"	"couple"	"of"	7
"787"	"day"	"to"	7
"788"	"do"	"with"	7
"789"	"dont"	"you"	7
"790"	"fact"	"that"	7
"791"	"for"	"following"	7
"792"	"for"	"that"	7
"793"	"free"	"to"	7
"794"	"full"	"of"	7
"795"	"game"	"is"	7
"796"	"get"	"back"	7
"797"	"get"	"home"	7
"798"	"give"	"up"	7
"799"	"going"	"on"	7
"800"	"good"	"time"	7
"801"	"have"	"fun"	7
"802"	"having"	"to"	7
"803"	"her"	"to"	7
"804"	"here"	"to"	7
"805"	"i"	"couldnt"	7
"806"	"i"	"go"	7
"807"	"i"	"needed"	7
"808"	"i"	"told"	7
"809"	"i"	"used"	7
"810"	"idea"	"of"	7
"811"	"if"	"u"	7
"812"	"im"	"just"	7
"813"	"im"	"sure"	7
"814"	"important"	"to"	7
"815"	"in"	"all"	7
"816"	"in"	"fact"	7
"817"	"in"	"new"	7
"818"	"in"	"order"	7
"819"	"in"	"other"	7
"820"	"in"	"time"	7
"821"	"involved"	"in"	7
"822"	"is"	"amazing"	7
"823"	"is"	"coming"	7
"824"	"is"	"just"	7
"825"	"is"	"only"	7
"826"	"it"	"a"	7
"827"	"it"	"as"	7
"828"	"it"	"out"	7
"829"	"it"	"the"	7
"830"	"its"	"so"	7
"831"	"just"	"as"	7
"832"	"know"	"the"	7
"833"	"last"	"day"	7
"834"	"life"	"and"	7
"835"	"like"	"i"	7
"836"	"like"	"that"	7
"837"	"likely"	"to"	7
"838"	"little"	"bit"	7
"839"	"living"	"in"	7
"840"	"love"	"and"	7
"841"	"love"	"my"	7
"842"	"love"	"them"	7
"843"	"love"	"your"	7
"844"	"made"	"the"	7
"845"	"make"	"my"	7
"846"	"making"	"a"	7
"847"	"managed"	"to"	7
"848"	"me"	"back"	7
"849"	"me"	"for"	7
"850"	"me"	"in"	7
"851"	"me"	"know"	7
"852"	"me"	"out"	7
"853"	"me"	"so"	7
"854"	"me"	"that"	7
"855"	"much"	"more"	7
"856"	"my"	"dad"	7
"857"	"my"	"hair"	7
"858"	"no"	"i"	7
"859"	"no"	"longer"	7
"860"	"of"	"an"	7
"861"	"of"	"him"	7
"862"	"of"	"life"	7
"863"	"on"	"friday"	7
"864"	"on"	"it"	7
"865"	"on"	"me"	7
"866"	"on"	"top"	7
"867"	"only"	"one"	7
"868"	"opportunity"	"to"	7
"869"	"or"	"so"	7
"870"	"other"	"people"	7
"871"	"other"	"than"	7
"872"	"out"	"a"	7
"873"	"out"	"my"	7
"874"	"plenty"	"of"	7
"875"	"seem"	"to"	7
"876"	"side"	"of"	7
"877"	"so"	"excited"	7
"878"	"so"	"im"	7
"879"	"something"	"that"	7
"880"	"something"	"to"	7
"881"	"sorry"	"for"	7
"882"	"supposed"	"to"	7
"883"	"sure"	"to"	7
"884"	"that"	"one"	7
"885"	"the"	"beach"	7
"886"	"the"	"bottom"	7
"887"	"the"	"case"	7
"888"	"the"	"city"	7
"889"	"the"	"front"	7
"890"	"the"	"game"	7
"891"	"the"	"good"	7
